date,site,rep,spores_l,water_year
2015-01-01,OS,1,0,2015
2015-01-01,OS,2,0,2015
2015-01-01,OS,3,0,2015
2015-04-07,OS,1,13.4,2015
2015-04-07,OS,2,6.4,2015
2015-04-07,OS,3,4.7,2015
2015-04-15,OS,1,13.6,2015
2015-04-15,OS,2,10.8,2015
2015-04-15,OS,3,10.3,2015
2015-04-20,OS,1,18.6,2015
2015-04-20,OS,2,18.2,2015
2015-04-20,OS,3,8.3,2015
2015-04-28,OS,1,302.4,2015
2015-04-28,OS,2,375.2,2015
2015-04-28,OS,3,437.5,2015
2015-05-04,OS,1,271.3,2015
2015-05-04,OS,2,175.3,2015
2015-05-04,OS,3,352.3,2015
2015-05-12,OS,1,323.8,2015
2015-05-12,OS,2,220.9,2015
2015-05-12,OS,3,293.1,2015
2015-05-18,OS,1,245.4,2015
2015-05-18,OS,2,261.3,2015
2015-05-18,OS,3,216.1,2015
2015-05-27,OS,1,164,2015
2015-05-27,OS,2,78.5,2015
2015-05-27,OS,3,222.8,2015
2015-06-03,OS,1,270.9,2015
2015-06-03,OS,2,196.8,2015
2015-06-03,OS,3,122,2015
2015-06-11,OS,1,156.4,2015
2015-06-11,OS,2,94.4,2015
2015-06-11,OS,3,124.9,2015
2015-06-17,OS,1,125.5,2015
2015-06-17,OS,2,14.9,2015
2015-06-17,OS,3,52.4,2015
2015-06-30,OS,1,81.1,2015
2015-06-30,OS,2,134.3,2015
2015-06-30,OS,3,182.4,2015
2015-07-16,OS,1,12.3,2015
2015-07-16,OS,2,33.2,2015
2015-07-16,OS,3,39.2,2015
2015-07-21,OS,1,263.1,2015
2015-07-21,OS,2,64,2015
2015-07-21,OS,3,47.5,2015
2015-07-23,OS,1,52.4,2015
2015-07-23,OS,2,43.2,2015
2015-07-23,OS,3,68.2,2015
2015-07-28,OS,1,24.9,2015
2015-07-28,OS,2,23.6,2015
2015-07-28,OS,3,11.9,2015
2015-08-04,OS,1,26.4,2015
2015-08-04,OS,2,21.9,2015
2015-08-04,OS,3,19.2,2015
2015-08-11,OS,1,187.9,2015
2015-08-11,OS,2,165.9,2015
2015-08-11,OS,3,79.6,2015
2015-08-17,OS,1,198,2015
2015-08-17,OS,2,293.2,2015
2015-08-17,OS,3,224.8,2015
2015-08-25,OS,1,190.4,2015
2015-08-25,OS,2,241.4,2015
2015-08-25,OS,3,127.1,2015
2015-09-01,OS,1,84.5,2015
2015-09-01,OS,2,149.5,2015
2015-09-01,OS,3,272,2015
2015-09-08,OS,1,266,2015
2015-09-08,OS,2,22.2,2015
2015-09-08,OS,3,21.2,2015
2015-09-11,OS,1,157.5,2015
2015-09-11,OS,2,193.6,2015
2015-09-11,OS,3,84.8,2015
2015-09-21,OS,1,149,2015
2015-09-21,OS,2,282.1,2015
2015-09-21,OS,3,158.8,2015
2015-09-28,OS,1,79.3,2015
2015-09-28,OS,2,157.9,2015
2015-09-28,OS,3,193.7,2015
2015-10-05,OS,1,45.3,2016
2015-10-05,OS,2,22.3,2016
2015-10-05,OS,3,58.5,2016
2015-10-14,OS,1,28.4,2016
2015-10-14,OS,2,14.1,2016
2015-10-14,OS,3,38.9,2016
2015-10-21,OS,1,13.6,2016
2015-10-21,OS,2,0.4,2016
2015-10-21,OS,3,1.3,2016
2015-10-27,OS,1,1.6,2016
2015-10-27,OS,2,-0.1,2016
2015-10-27,OS,3,-0.1,2016
2015-11-09,OS,1,11.2,2016
2015-11-09,OS,2,14,2016
2015-11-09,OS,3,10.7,2016
2015-11-13,OS,1,7.6,2016
2015-11-13,OS,2,6.1,2016
2015-11-13,OS,3,11.3,2016
2015-11-20,OS,1,8.1,2016
2015-11-20,OS,2,13.4,2016
2015-11-20,OS,3,6,2016
2015-11-24,OS,1,7.1,2016
2015-11-24,OS,2,1.5,2016
2015-11-24,OS,3,3.9,2016
2016-03-09,OS,1,0,2016
2016-03-09,OS,2,0.5,2016
2016-03-09,OS,3,0.2,2016
2016-03-14,OS,1,1.7,2016
2016-03-14,OS,2,1,2016
2016-03-14,OS,3,0,2016
2016-03-22,OS,1,4.5,2016
2016-03-22,OS,2,0,2016
2016-03-22,OS,3,9.1,2016
2016-03-30,OS,1,14.6,2016
2016-03-30,OS,2,7.3,2016
2016-03-30,OS,3,6.6,2016
2016-04-07,OS,1,10.9,2016
2016-04-07,OS,2,22,2016
2016-04-07,OS,3,55.3,2016
2016-04-13,OS,1,73.8,2016
2016-04-13,OS,2,44.5,2016
2016-04-13,OS,3,45.3,2016
2016-04-20,OS,1,58.3,2016
2016-04-20,OS,2,97.1,2016
2016-04-20,OS,3,106.6,2016
2016-04-27,OS,1,128.1,2016
2016-04-27,OS,2,96.1,2016
2016-04-27,OS,3,78.5,2016
2016-05-04,OS,1,104.4,2016
2016-05-04,OS,2,87,2016
2016-05-04,OS,3,68.2,2016
2016-05-10,OS,1,44.2,2016
2016-05-10,OS,2,50.7,2016
2016-05-10,OS,3,78.9,2016
2016-05-16,OS,1,274.4,2016
2016-05-16,OS,2,153.8,2016
2016-05-16,OS,3,127,2016
2016-05-24,OS,1,145,2016
2016-05-24,OS,2,85.8,2016
2016-05-24,OS,3,127,2016
2016-06-01,OS,1,117.5,2016
2016-06-01,OS,2,181.6,2016
2016-06-01,OS,3,254.6,2016
2016-06-07,OS,1,166.2,2016
2016-06-07,OS,2,179.8,2016
2016-06-07,OS,3,186.2,2016
2016-06-14,OS,1,41.6,2016
2016-06-14,OS,2,53.1,2016
2016-06-14,OS,3,64.3,2016
2016-06-20,OS,1,70,2016
2016-06-20,OS,2,61.6,2016
2016-06-20,OS,3,102.1,2016
2016-07-05,OS,1,0,2016
2016-07-05,OS,2,0.7,2016
2016-07-05,OS,3,2.9,2016
2016-07-06,OS,1,15.1,2016
2016-07-06,OS,2,12.1,2016
2016-07-06,OS,3,31.7,2016
2016-07-11,OS,1,22.9,2016
2016-07-11,OS,2,21.1,2016
2016-07-11,OS,3,43,2016
2016-07-20,OS,1,4,2016
2016-07-20,OS,2,10.3,2016
2016-07-20,OS,3,13.2,2016
2016-07-25,OS,1,79.6,2016
2016-07-25,OS,2,33.2,2016
2016-07-25,OS,3,22.1,2016
2016-08-01,OS,1,35.9,2016
2016-08-01,OS,2,55,2016
2016-08-01,OS,3,55.4,2016
2016-08-08,OS,1,60.2,2016
2016-08-08,OS,2,47.3,2016
2016-08-08,OS,3,13.2,2016
2016-08-15,OS,1,12,2016
2016-08-15,OS,2,26.9,2016
2016-08-15,OS,3,57.8,2016
2016-08-22,OS,1,50.6,2016
2016-08-22,OS,2,52.8,2016
2016-08-22,OS,3,41.1,2016
2016-09-06,OS,1,18.2,2016
2016-09-06,OS,2,35.8,2016
2016-09-06,OS,3,14.6,2016
2016-09-13,OS,1,36.3,2016
2016-09-13,OS,2,34.9,2016
2016-09-13,OS,3,22.9,2016
2016-09-20,OS,1,16.5,2016
2016-09-20,OS,2,28.8,2016
2016-09-20,OS,3,38,2016
2016-09-27,OS,1,11.8,2016
2016-09-27,OS,2,13.5,2016
2016-09-27,OS,3,8.8,2016
2016-10-04,OS,1,12.8,2017
2016-10-04,OS,2,8.8,2017
2016-10-04,OS,3,10.2,2017
2016-10-13,OS,1,4.2,2017
2016-10-13,OS,2,4.3,2017
2016-10-13,OS,3,2.2,2017
2016-10-18,OS,1,4.1,2017
2016-10-18,OS,2,4.3,2017
2016-10-18,OS,3,4.3,2017
2016-10-28,OS,1,2.1,2017
2016-10-28,OS,2,1.3,2017
2016-10-28,OS,3,0.8,2017
2016-11-01,OS,1,2.3,2017
2016-11-01,OS,2,1.1,2017
2016-11-01,OS,3,1.5,2017
2016-11-08,OS,1,3.4,2017
2016-11-08,OS,2,2.3,2017
2016-11-08,OS,3,2.9,2017
2016-11-14,OS,1,2.2,2017
2016-11-14,OS,2,2.6,2017
2016-11-14,OS,3,2.5,2017
2016-11-21,OS,1,1.7,2017
2016-11-21,OS,2,2,2017
2016-11-21,OS,3,1,2017
2016-11-30,OS,1,1.3,2017
2016-11-30,OS,2,4.4,2017
2016-11-30,OS,3,2.7,2017
2016-12-05,OS,1,9.2,2017
2016-12-05,OS,2,3.2,2017
2016-12-05,OS,3,2.8,2017
2016-12-13,OS,1,0,2017
2016-12-13,OS,2,0,2017
2016-12-13,OS,3,0,2017
2016-12-22,OS,1,0,2017
2016-12-22,OS,2,0,2017
2016-12-22,OS,3,0.7,2017
2016-12-27,OS,1,0,2017
2016-12-27,OS,2,0,2017
2016-12-27,OS,3,0,2017
2017-01-02,OS,1,0,2017
2017-01-02,OS,2,0,2017
2017-01-02,OS,3,0,2017
2017-01-30,OS,1,0,2017
2017-01-30,OS,2,0,2017
2017-01-30,OS,3,0,2017
2017-02-10,OS,1,0,2017
2017-02-10,OS,2,0,2017
2017-02-10,OS,3,0,2017
2017-02-20,OS,1,0,2017
2017-02-20,OS,2,0,2017
2017-02-20,OS,3,0,2017
2017-03-09,OS,1,0,2017
2017-03-09,OS,2,0,2017
2017-03-09,OS,3,0,2017
2017-04-24,OS,1,1.3,2017
2017-04-24,OS,2,2.6,2017
2017-04-24,OS,3,0.4,2017
2017-05-08,OS,1,1.5,2017
2017-05-08,OS,2,0.2,2017
2017-05-08,OS,3,0,2017
2017-05-15,OS,1,1.4,2017
2017-05-15,OS,2,0.8,2017
2017-05-15,OS,3,1.1,2017
2017-08-07,OS,1,0,2017
2017-08-07,OS,2,2.1,2017
2017-08-07,OS,3,0,2017
2017-08-30,OS,1,4.5,2017
2017-08-30,OS,2,8.3,2017
2017-08-30,OS,3,9,2017
2017-09-08,OS,1,1.6,2017
2017-09-08,OS,2,1.8,2017
2017-09-08,OS,3,0.4,2017
2017-09-27,OS,1,0,2017
2017-09-27,OS,2,0,2017
2017-09-27,OS,3,0,2017
2017-10-11,OS,1,1.5,2018
2017-10-11,OS,2,13.2,2018
2017-10-11,OS,3,23.3,2018
2017-10-19,OS,1,15.3,2018
2017-10-19,OS,2,11.9,2018
2017-10-19,OS,3,6.2,2018
2018-03-06,OS,1,0,2018
2018-03-06,OS,2,0,2018
2018-03-06,OS,3,0,2018
2018-03-20,OS,1,0.3,2018
2018-03-20,OS,2,0,2018
2018-03-20,OS,3,0.5,2018
2018-04-03,OS,1,0.6,2018
2018-04-03,OS,2,0.2,2018
2018-04-03,OS,3,0.7,2018
2018-04-17,OS,1,2.2,2018
2018-04-17,OS,2,1.3,2018
2018-04-17,OS,3,1.1,2018
2018-05-02,OS,1,6.5,2018
2018-05-02,OS,2,5.5,2018
2018-05-02,OS,3,5.2,2018
2018-05-15,OS,1,30.9,2018
2018-05-15,OS,2,36.1,2018
2018-05-15,OS,3,41.2,2018
2018-05-29,OS,1,39.7,2018
2018-05-29,OS,2,64.7,2018
2018-05-29,OS,3,81.6,2018
2018-06-05,OS,1,101.1,2018
2018-06-05,OS,2,77.3,2018
2018-06-05,OS,3,62.8,2018
2018-06-13,OS,1,45.5,2018
2018-06-13,OS,2,19.9,2018
2018-06-13,OS,3,44.1,2018
2018-06-27,OS,1,10,2018
2018-06-27,OS,2,9.8,2018
2018-06-27,OS,3,6.9,2018
2018-07-10,OS,1,87.1,2018
2018-07-10,OS,2,158.3,2018
2018-07-10,OS,3,57.8,2018
2018-07-26,OS,1,0,2018
2018-07-26,OS,2,0.5,2018
2018-07-26,OS,3,0,2018
2018-08-14,OS,1,18.2,2018
2018-08-14,OS,2,15.6,2018
2018-08-14,OS,3,29.7,2018
2018-08-29,OS,1,1.1,2018
2018-08-29,OS,2,0.3,2018
2018-08-29,OS,3,0,2018
2018-09-11,OS,1,0.5,2018
2018-09-11,OS,2,1.9,2018
2018-09-11,OS,3,3.2,2018
2018-09-25,OS,1,4.2,2018
2018-09-25,OS,2,9,2018
2018-09-25,OS,3,4.6,2018
2018-10-10,OS,1,0.9,2019
2018-10-10,OS,2,0.1,2019
2018-10-10,OS,3,0.2,2019
2018-10-30,OS,1,0,2019
2018-10-30,OS,2,0,2019
2018-10-30,OS,3,0,2019
2018-12-31,OS,1,0,2019
2018-12-31,OS,2,0,2019
2018-12-31,OS,3,0,2019
2019-04-01,OS,1,0,2019
2019-04-01,OS,2,1.110138,2019
2019-04-01,OS,3,0,2019
2019-04-12,OS,1,2.095932,2019
2019-04-12,OS,2,0,2019
2019-04-12,OS,3,0,2019
2019-04-23,OS,1,2.927447,2019
2019-04-23,OS,2,1.640785,2019
2019-04-23,OS,3,2.629294,2019
2019-05-07,OS,1,5.912091,2019
2019-05-07,OS,2,8.000434,2019
2019-05-07,OS,3,7.087213,2019
2019-05-23,OS,1,0,2019
2019-05-23,OS,2,0,2019
2019-05-23,OS,3,0,2019
2019-06-04,OS,1,0.053118,2019
2019-06-04,OS,2,2.517614,2019
2019-06-04,OS,3,10.67272,2019
2019-07-02,OS,1,4.718314,2019
2019-07-02,OS,2,5.018265,2019
2019-07-02,OS,3,6.514545,2019
2019-07-16,OS,1,10.53335,2019
2019-07-16,OS,2,12.91965,2019
2019-07-16,OS,3,7.110178,2019
2019-08-01,OS,1,2,2019
2019-08-01,OS,2,0,2019
2019-08-01,OS,3,0,2019
2019-08-13,OS,1,2,2019
2019-08-13,OS,2,1,2019
2019-08-13,OS,3,1,2019
2019-08-26,OS,1,0,2019
2019-08-26,OS,2,0,2019
2019-08-26,OS,3,0,2019
2019-09-01,OS,1,0,2019
2019-09-01,OS,2,0,2019
2019-09-01,OS,3,0,2019
2019-10-03,OS,1,1,2020
2019-10-03,OS,2,0,2020
2019-10-03,OS,3,1,2020
2019-10-24,OS,1,0,2020
2019-10-24,OS,2,0,2020
2019-10-24,OS,3,0,2020
2019-10-30,OS,1,0,2020
2019-10-30,OS,2,1,2020
2019-10-30,OS,3,0,2020
2020-03-06,OS,1,0,2020
2020-03-06,OS,2,9,2020
2020-03-06,OS,3,2,2020
2020-03-17,OS,1,12,2020
2020-03-17,OS,2,9,2020
2020-03-17,OS,3,4,2020
2020-03-31,OS,1,0,2020
2020-03-31,OS,2,12,2020
2020-03-31,OS,3,0,2020
2020-04-14,OS,1,25,2020
2020-04-14,OS,2,15,2020
2020-04-14,OS,3,15,2020
2020-04-29,OS,1,54,2020
2020-04-29,OS,2,24,2020
2020-04-29,OS,3,0,2020
2020-05-12,OS,1,210,2020
2020-05-12,OS,2,165,2020
2020-05-12,OS,3,48,2020
2020-05-26,OS,1,149,2020
2020-05-26,OS,2,0,2020
2020-05-26,OS,3,0,2020
2020-06-09,OS,1,74,2020
2020-06-09,OS,2,173,2020
2021-04-14,OS,1,3,2021
2021-04-14,OS,2,4,2021
2021-04-14,OS,3,0,2021
2021-04-27,OS,1,14,2021
2021-04-27,OS,2,0,2021
2021-04-27,OS,3,24,2021
2021-05-11,OS,1,75,2021
2021-05-11,OS,2,59,2021
2021-05-11,OS,3,55,2021
2021-05-25,OS,1,53,2021
2021-05-25,OS,2,54,2021
2021-05-25,OS,3,53,2021
2021-06-08,OS,1,54,2021
2021-06-08,OS,2,53,2021
2021-06-08,OS,3,53,2021
2021-06-22,OS,1,57,2021
2021-06-22,OS,2,55,2021
2021-06-22,OS,3,54,2021
2021-07-06,OS,1,55,2021
2021-07-06,OS,2,54,2021
2021-07-06,OS,3,55,2021
2021-07-20,OS,1,57,2021
2021-07-20,OS,2,57,2021
2021-07-20,OS,3,55,2021
2021-08-03,OS,1,58,2021
2021-08-03,OS,2,57,2021
2021-08-03,OS,3,58,2021
2021-08-16,OS,1,59,2021
2021-08-16,OS,2,58,2021
2021-08-16,OS,3,59,2021
2021-08-30,OS,1,57,2021
2021-08-30,OS,2,59,2021
2021-08-30,OS,3,59,2021
2021-09-13,OS,1,63,2021
2021-09-13,OS,2,61,2021
2021-09-13,OS,3,59,2021
2021-09-28,OS,1,6,2021
2021-09-28,OS,2,11,2021
2021-09-28,OS,3,16,2021
2021-10-12,OS,1,2,2022
2021-10-12,OS,2,8,2022
2021-10-12,OS,3,4,2022
2021-10-26,OS,1,12,2022
2021-10-26,OS,2,5,2022
2021-10-26,OS,3,10,2022
2022-03-08,OS,1,0,2022
2022-03-08,OS,2,0,2022
2022-03-08,OS,3,0,2022
2022-03-22,OS,1,0,2022
2022-03-22,OS,2,0,2022
2022-03-22,OS,3,NA,2022
2022-04-05,OS,1,1,2022
2022-04-05,OS,2,2,2022
2022-04-05,OS,3,0,2022
2022-04-19,OS,1,13,2022
2022-04-19,OS,2,18,2022
2022-04-19,OS,3,7,2022
2022-05-03,OS,1,14,2022
2022-05-03,OS,2,39,2022
2022-05-03,OS,3,37,2022
2022-05-16,OS,1,39,2022
2022-05-16,OS,2,25,2022
2022-05-16,OS,3,28,2022
2022-05-31,OS,1,23,2022
2022-05-31,OS,2,24,2022
2022-05-31,OS,3,34,2022
2022-06-14,OS,1,37,2022
2022-06-14,OS,2,42,2022
2022-06-14,OS,3,44,2022
2022-06-28,OS,1,15,2022
2022-06-28,OS,2,22,2022
2022-06-28,OS,3,8,2022
2022-07-12,OS,1,30,2022
2022-07-12,OS,2,28,2022
2022-07-12,OS,3,0,2022
2022-07-26,OS,1,37,2022
2022-07-26,OS,2,31,2022
2022-07-26,OS,3,20,2022
2022-08-08,OS,1,45,2022
2022-08-08,OS,2,0,2022
2022-08-08,OS,3,0,2022
2022-08-22,OS,1,8,2022
2022-08-22,OS,2,14,2022
2022-08-22,OS,3,9,2022
2022-09-07,OS,1,16,2022
2022-09-07,OS,2,7,2022
2022-09-07,OS,3,5,2022
2022-09-20,OS,1,5,2022
2022-09-20,OS,2,4,2022
2022-09-20,OS,3,3,2022
2022-10-04,OS,1,14,2023
2022-10-04,OS,2,12,2023
2022-10-04,OS,3,4,2023
2022-10-18,OS,1,0,2023
2022-10-18,OS,2,2,2023
2022-10-18,OS,3,14,2023
2023-03-07,OS,1,0.25,2023
2023-03-07,OS,2,0,2023
2023-03-07,OS,3,0,2023
2023-03-21,OS,1,0.52,2023
2023-03-21,OS,2,0,2023
2023-03-21,OS,3,0,2023
2023-04-04,OS,1,0.95,2023
2023-04-04,OS,2,1.01,2023
2023-04-04,OS,3,1.07,2023
2023-04-19,OS,1,0.68,2023
2023-04-19,OS,2,4.07,2023
2023-04-19,OS,3,3.01,2023
2023-06-13,OS,1,82.21,2023
2023-06-13,OS,2,77.81,2023
2023-06-13,OS,3,85.27,2023
2023-06-27,OS,1,16.64,2023
2023-07-25,OS,1,18.52,2023
2023-07-25,OS,2,8.07,2023
2023-07-25,OS,3,21.81,2023
2023-08-08,OS,1,12.46,2023
2023-08-08,OS,2,6.97,2023
2023-08-08,OS,3,9.07,2023
2023-08-21,OS,1,7.72,2023
2023-08-21,OS,2,6.72,2023
2023-08-21,OS,3,8.89,2023
2023-09-19,OS,1,6.68,2023
2023-10-03,OS,1,1.89,2024
2023-10-03,OS,2,4.38,2024
2023-10-03,OS,3,6.72,2024
2023-10-17,OS,1,5.86,2024
2023-10-17,OS,2,4.69,2024
2023-10-17,OS,3,2.65,2024
2023-10-31,OS,1,1.92,2024
