site,date,water_year,n_reps,mean_spores_l
OS,2015-01-01,2015,3,0
OS,2015-04-07,2015,3,8.166666666666668
OS,2015-04-15,2015,3,11.566666666666666
OS,2015-04-20,2015,3,15.033333333333333
OS,2015-04-28,2015,3,371.7
OS,2015-05-04,2015,3,266.3
OS,2015-05-12,2015,3,279.26666666666665
OS,2015-05-18,2015,3,240.93333333333334
OS,2015-05-27,2015,3,155.1
OS,2015-06-03,2015,3,196.56666666666666
OS,2015-06-11,2015,3,125.23333333333333
OS,2015-06-17,2015,3,64.26666666666667
OS,2015-06-30,2015,3,132.6
OS,2015-07-16,2015,3,28.233333333333334
OS,2015-07-21,2015,3,124.86666666666667
OS,2015-07-23,2015,3,54.6
OS,2015-07-28,2015,3,20.133333333333333
OS,2015-08-04,2015,3,22.5
OS,2015-08-11,2015,3,144.46666666666667
OS,2015-08-17,2015,3,238.66666666666666
OS,2015-08-25,2015,3,186.3
OS,2015-09-01,2015,3,168.66666666666666
OS,2015-09-08,2015,3,103.13333333333333
OS,2015-09-11,2015,3,145.3
OS,2015-09-21,2015,3,196.63333333333335
OS,2015-09-28,2015,3,143.63333333333333
OS,2015-10-05,2016,3,42.03333333333333
OS,2015-10-14,2016,3,27.133333333333333
OS,2015-10-21,2016,3,5.1
OS,2015-10-27,2016,3,0.4666666666666667
OS,2015-11-09,2016,3,11.966666666666667
OS,2015-11-13,2016,3,8.333333333333334
OS,2015-11-20,2016,3,9.166666666666666
OS,2015-11-24,2016,3,4.166666666666666
OS,2016-03-09,2016,3,0.23333333333333334
OS,2016-03-14,2016,3,0.9
OS,2016-03-22,2016,3,4.533333333333333
OS,2016-03-30,2016,3,9.5
OS,2016-04-07,2016,3,29.4
OS,2016-04-13,2016,3,54.53333333333333
OS,2016-04-20,2016,3,87.33333333333333
OS,2016-04-27,2016,3,100.89999999999999
OS,2016-05-04,2016,3,86.53333333333333
OS,2016-05-10,2016,3,57.93333333333334
OS,2016-05-16,2016,3,185.06666666666666
OS,2016-05-24,2016,3,119.26666666666667
OS,2016-06-01,2016,3,184.56666666666666
OS,2016-06-07,2016,3,177.4
OS,2016-06-14,2016,3,53
OS,2016-06-20,2016,3,77.9
OS,2016-07-05,2016,3,1.2
OS,2016-07-06,2016,3,19.633333333333333
OS,2016-07-11,2016,3,29
OS,2016-07-20,2016,3,9.166666666666666
OS,2016-07-25,2016,3,44.96666666666667
OS,2016-08-01,2016,3,48.766666666666666
OS,2016-08-08,2016,3,40.233333333333334
OS,2016-08-15,2016,3,32.233333333333334
OS,2016-08-22,2016,3,48.166666666666664
OS,2016-09-06,2016,3,22.866666666666667
OS,2016-09-13,2016,3,31.366666666666664
OS,2016-09-20,2016,3,27.766666666666666
OS,2016-09-27,2016,3,11.366666666666667
OS,2016-10-04,2017,3,10.6
OS,2016-10-13,2017,3,3.566666666666667
OS,2016-10-18,2017,3,4.233333333333333
OS,2016-10-28,2017,3,1.4000000000000001
OS,2016-11-01,2017,3,1.6333333333333333
OS,2016-11-08,2017,3,2.8666666666666667
OS,2016-11-14,2017,3,2.4333333333333336
OS,2016-11-21,2017,3,1.5666666666666667
OS,2016-11-30,2017,3,2.8000000000000003
OS,2016-12-05,2017,3,5.066666666666666
OS,2016-12-13,2017,3,0
OS,2016-12-22,2017,3,0.2333333333333333
OS,2016-12-27,2017,3,0
OS,2017-01-02,2017,3,0
OS,2017-01-30,2017,3,0
OS,2017-02-10,2017,3,0
OS,2017-02-20,2017,3,0
OS,2017-03-09,2017,3,0
OS,2017-04-24,2017,3,1.4333333333333333
OS,2017-05-08,2017,3,0.5666666666666667
OS,2017-05-15,2017,3,1.1
OS,2017-08-07,2017,3,0.7000000000000001
OS,2017-08-30,2017,3,7.266666666666667
OS,2017-09-08,2017,3,1.2666666666666666
OS,2017-09-27,2017,3,0
OS,2017-10-11,2018,3,12.666666666666666
OS,2017-10-19,2018,3,11.133333333333333
OS,2018-03-06,2018,3,0
OS,2018-03-20,2018,3,0.26666666666666666
OS,2018-04-03,2018,3,0.5
OS,2018-04-17,2018,3,1.5333333333333334
OS,2018-05-02,2018,3,5.733333333333333
OS,2018-05-15,2018,3,36.06666666666667
OS,2018-05-29,2018,3,62
OS,2018-06-05,2018,3,80.39999999999999
OS,2018-06-13,2018,3,36.5
OS,2018-06-27,2018,3,8.9
OS,2018-07-10,2018,3,101.06666666666666
OS,2018-07-26,2018,3,0.16666666666666666
OS,2018-08-14,2018,3,21.166666666666664
OS,2018-08-29,2018,3,0.4666666666666667
OS,2018-09-11,2018,3,1.8666666666666667
OS,2018-09-25,2018,3,5.933333333333334
OS,2018-10-10,2019,3,0.4
OS,2018-10-30,2019,3,0
OS,2018-12-31,2019,3,0
OS,2019-04-01,2019,3,0.37004600000000004
OS,2019-04-12,2019,3,0.6986439999999999
OS,2019-04-23,2019,3,2.399175333333333
OS,2019-05-07,2019,3,6.999912666666667
OS,2019-05-23,2019,3,0
OS,2019-06-04,2019,3,4.414484
OS,2019-07-02,2019,3,5.417041333333334
OS,2019-07-16,2019,3,10.187726000000001
OS,2019-08-01,2019,3,0.6666666666666666
OS,2019-08-13,2019,3,1.3333333333333333
OS,2019-08-26,2019,3,0
OS,2019-09-01,2019,3,0
OS,2019-10-03,2020,3,0.6666666666666666
OS,2019-10-24,2020,3,0
OS,2019-10-30,2020,3,0.3333333333333333
OS,2020-03-06,2020,3,3.6666666666666665
OS,2020-03-17,2020,3,8.333333333333334
OS,2020-03-31,2020,3,4
OS,2020-04-14,2020,3,18.333333333333332
OS,2020-04-29,2020,3,26
OS,2020-05-12,2020,3,141
OS,2020-05-26,2020,3,49.666666666666664
OS,2020-06-09,2020,2,123.5
OS,2021-04-14,2021,3,2.3333333333333335
OS,2021-04-27,2021,3,12.666666666666666
OS,2021-05-11,2021,3,63
OS,2021-05-25,2021,3,53.333333333333336
OS,2021-06-08,2021,3,53.333333333333336
OS,2021-06-22,2021,3,55.333333333333336
OS,2021-07-06,2021,3,54.666666666666664
OS,2021-07-20,2021,3,56.333333333333336
OS,2021-08-03,2021,3,57.666666666666664
OS,2021-08-16,2021,3,58.666666666666664
OS,2021-08-30,2021,3,58.333333333333336
OS,2021-09-13,2021,3,61
OS,2021-09-28,2021,3,11
OS,2021-10-12,2022,3,4.666666666666667
OS,2021-10-26,2022,3,9
OS,2022-03-08,2022,3,0
OS,2022-03-22,2022,2,0
OS,2022-04-05,2022,3,1
OS,2022-04-19,2022,3,12.666666666666666
OS,2022-05-03,2022,3,30
OS,2022-05-16,2022,3,30.666666666666668
OS,2022-05-31,2022,3,27
OS,2022-06-14,2022,3,41
OS,2022-06-28,2022,3,15
OS,2022-07-12,2022,3,19.333333333333332
OS,2022-07-26,2022,3,29.333333333333332
OS,2022-08-08,2022,3,15
OS,2022-08-22,2022,3,10.333333333333334
OS,2022-09-07,2022,3,9.333333333333334
OS,2022-09-20,2022,3,4
OS,2022-10-04,2023,3,10
OS,2022-10-18,2023,3,5.333333333333333
OS,2023-03-07,2023,3,0.08333333333333333
OS,2023-03-21,2023,3,0.17333333333333334
OS,2023-04-04,2023,3,1.01
OS,2023-04-19,2023,3,2.586666666666667
OS,2023-06-13,2023,3,81.76333333333334
OS,2023-06-27,2023,1,16.64
OS,2023-07-25,2023,3,16.133333333333333
OS,2023-08-08,2023,3,9.5
OS,2023-08-21,2023,3,7.776666666666666
OS,2023-09-19,2023,1,6.68
OS,2023-10-03,2024,3,4.33
OS,2023-10-17,2024,3,4.4
OS,2023-10-31,2024,3,4.926666666666667
OS,2024-03-26,2024,3,0.3466666666666667
OS,2024-04-09,2024,3,1.8066666666666666
OS,2024-04-23,2024,3,7.226666666666667
OS,2024-05-07,2024,3,11.57
OS,2024-05-12,2024,3,12.93
OS,2024-06-04,2024,3,10.36
OS,2024-06-18,2024,3,20.85333333333333
OS,2024-07-02,2024,3,9.273333333333333
OS,2024-07-16,2024,3,9.726666666666667
OS,2024-07-30,2024,3,2.24
OS,2024-08-11,2024,3,2.8166666666666664
OS,2024-08-26,2024,3,2.0666666666666664
OS,2024-09-09,2024,3,45.11666666666667
OS,2024-09-25,2024,3,104.41
OS,2024-10-08,2025,3,62.870000000000005
OS,2024-10-22,2025,3,83.13333333333334
PT,2015-01-01,2015,3,0
PT,2015-04-14,2015,3,4.1
PT,2015-04-28,2015,3,1
PT,2015-05-13,2015,3,7.933333333333333
PT,2015-05-26,2015,3,6.9
PT,2015-06-09,2015,3,10.233333333333334
PT,2015-06-23,2015,3,9.366666666666667
PT,2015-07-07,2015,3,15.633333333333333
PT,2015-07-21,2015,3,3.1333333333333333
PT,2015-08-04,2015,3,6.866666666666667
PT,2015-08-17,2015,3,0.6666666666666666
PT,2015-08-31,2015,3,2.8
PT,2015-09-15,2015,3,2.3666666666666667
PT,2015-09-29,2015,3,1.8333333333333335
PT,2015-10-13,2016,3,4.066666666666666
PT,2015-10-27,2016,3,1.4333333333333333
PT,2015-11-10,2016,3,0
PT,2015-11-24,2016,3,0.3333333333333333
PT,2016-03-08,2016,3,0.19999999999999998
PT,2016-03-22,2016,3,0.06666666666666667
PT,2016-04-05,2016,3,0.5
PT,2016-05-03,2016,3,2
PT,2016-05-17,2016,3,3.4666666666666663
PT,2016-05-31,2016,3,0
PT,2016-06-07,2016,3,0.9
PT,2016-06-14,2016,3,1.0333333333333334
PT,2016-06-28,2016,3,8.133333333333333
PT,2016-07-12,2016,3,6.566666666666666
PT,2016-07-26,2016,3,10.1
PT,2017-04-04,2017,3,0.3333333333333333
PT,2017-04-18,2017,3,0.03333333333333333
PT,2017-05-02,2017,3,0.1
PT,2017-05-16,2017,3,1.8
PT,2017-05-30,2017,3,0.9333333333333333
PT,2017-06-13,2017,3,7.366666666666666
PT,2017-06-27,2017,3,2.2666666666666666
PT,2017-07-11,2017,3,1.8333333333333333
PT,2017-07-26,2017,3,0.43333333333333335
PT,2017-08-08,2017,3,0.06666666666666667
PT,2017-08-23,2017,3,2.7
PT,2017-08-30,2017,3,3.933333333333333
PT,2017-09-05,2017,3,0.7999999999999999
PT,2017-09-19,2017,3,0.23333333333333334
PT,2017-10-03,2018,3,4.5
PT,2017-10-17,2018,3,0.13333333333333333
PT,2017-10-31,2018,3,3.9333333333333336
PT,2018-03-06,2018,3,0.03333333333333333
PT,2018-03-20,2018,3,1
PT,2018-04-03,2018,3,0.03333333333333333
PT,2018-04-17,2018,3,0.5333333333333333
PT,2018-05-01,2018,3,2.3333333333333335
PT,2018-05-15,2018,3,1.7
PT,2018-05-29,2018,3,5.3999999999999995
PT,2018-06-12,2018,3,13.866666666666667
PT,2018-06-26,2018,3,4.866666666666667
PT,2018-07-24,2018,3,4.1
PT,2018-08-07,2018,3,6.433333333333333
PT,2018-08-20,2018,3,3.6333333333333333
PT,2018-09-05,2018,3,0.16666666666666666
PT,2018-09-18,2018,3,0.9333333333333332
PT,2018-10-02,2019,3,0.9666666666666667
PT,2018-10-17,2019,3,2.6
PT,2018-10-30,2019,3,1.5
PT,2018-12-31,2019,3,0
PT,2019-03-12,2019,3,0
PT,2019-03-26,2019,3,0.341999
PT,2019-04-09,2019,3,0
PT,2019-04-23,2019,3,0.6238236666666667
PT,2019-05-07,2019,3,2.1220736666666666
PT,2019-05-21,2019,3,1.4909480000000002
PT,2019-06-04,2019,3,0.8434196666666667
PT,2019-06-18,2019,3,2.2273053333333332
PT,2019-07-02,2019,3,2.563609
PT,2019-07-16,2019,3,0.7892786666666667
PT,2019-07-30,2019,3,0
PT,2019-08-13,2019,3,0
PT,2019-08-26,2019,3,0.6666666666666666
PT,2019-09-24,2019,3,0
PT,2019-10-22,2020,3,0
PT,2020-03-06,2020,3,0
PT,2020-03-17,2020,3,0.6666666666666666
PT,2020-03-31,2020,3,0
PT,2020-04-14,2020,3,0.6666666666666666
PT,2020-04-29,2020,3,0.6666666666666666
PT,2020-05-12,2020,3,0.3333333333333333
PT,2020-05-26,2020,3,3.3333333333333335
PT,2020-06-09,2020,2,2.5
PT,2020-06-23,2020,3,2.3333333333333335
PT,2020-07-07,2020,0,NA
PT,2020-07-11,2020,0,NA
PT,2020-07-21,2020,3,0.3333333333333333
PT,2020-08-09,2020,3,0
PT,2020-08-19,2020,3,0
PT,2020-09-02,2020,3,0
PT,2020-09-16,2020,2,0
PT,2020-09-29,2020,2,0
PT,2020-10-13,2021,2,0
PT,2020-10-27,2021,2,0
PT,2021-03-01,2021,3,0
PT,2021-03-30,2021,3,0.3333333333333333
PT,2021-04-11,2021,3,0.3333333333333333
PT,2021-04-27,2021,3,0.6666666666666666
PT,2021-05-11,2021,3,0
PT,2021-05-25,2021,3,1.6666666666666667
PT,2021-06-08,2021,3,0.6666666666666666
PT,2021-06-22,2021,3,0.3333333333333333
PT,2021-07-06,2021,3,0.3333333333333333
PT,2021-07-20,2021,3,1
PT,2021-08-03,2021,3,2.3333333333333335
PT,2021-08-16,2021,3,1.3333333333333333
PT,2021-09-13,2021,3,0.3333333333333333
PT,2021-09-28,2021,3,2
PT,2021-10-12,2022,3,1
PT,2021-10-26,2022,3,1.3333333333333333
PT,2022-03-08,2022,3,0
PT,2022-03-22,2022,3,0
PT,2022-04-05,2022,3,4
PT,2022-04-19,2022,3,2
PT,2022-05-03,2022,3,1
PT,2022-05-16,2022,3,0.3333333333333333
PT,2022-05-31,2022,3,1
PT,2022-06-14,2022,2,1
PT,2022-06-19,2022,1,1
PT,2022-06-28,2022,3,0.6666666666666666
PT,2022-07-12,2022,3,3
PT,2022-07-26,2022,3,6.333333333333333
PT,2022-08-08,2022,3,1.6666666666666667
PT,2022-08-22,2022,3,1.3333333333333333
PT,2022-09-07,2022,3,2
PT,2022-09-20,2022,3,3.3333333333333335
PT,2022-10-04,2023,3,5
PT,2022-10-18,2023,3,1
PT,2023-03-07,2023,3,0
PT,2023-03-21,2023,3,15.25
PT,2023-04-04,2023,3,32.72
PT,2023-04-19,2023,3,6.343333333333333
PT,2023-05-02,2023,3,6.323333333333333
PT,2023-05-16,2023,3,30.213333333333335
PT,2023-05-30,2023,3,0.20666666666666667
PT,2023-06-13,2023,3,6.42
PT,2023-06-27,2023,3,6.23
PT,2023-07-11,2023,3,8.84
PT,2023-07-25,2023,3,11.396666666666667
PT,2023-08-08,2023,3,14.976666666666667
PT,2023-08-21,2023,3,7.366666666666666
PT,2023-09-19,2023,3,1.9866666666666666
PT,2023-10-03,2024,3,1.7166666666666666
PT,2023-10-17,2024,3,2.4899999999999998
PT,2023-10-31,2024,3,0.7266666666666667
PT,2024-03-26,2024,3,0.16666666666666666
PT,2024-04-09,2024,3,0.5733333333333334
PT,2024-04-23,2024,3,0.09999999999999999
PT,2024-05-07,2024,3,0.9033333333333333
PT,2024-05-21,2024,3,0.4766666666666666
PT,2024-06-04,2024,3,0.6133333333333333
PT,2024-06-18,2024,3,2.5766666666666667
PT,2024-07-02,2024,3,1.35
PT,2024-07-16,2024,3,1.5366666666666666
PT,2024-07-30,2024,3,3.6466666666666665
PT,2024-08-11,2024,3,2.276666666666667
PT,2024-08-26,2024,3,4.6466666666666665
PT,2024-09-09,2024,3,4.95
PT,2024-09-25,2024,3,12.443333333333333
PT,2024-10-08,2025,3,4.6
PT,2024-10-22,2025,3,5.446666666666666
